"cie10","descripcion"
"D223","Nevo Melanocitico De Otras Partes Y De Las No Especificadas De La Cara"
"D224","Nevo Melanocitico Del Cuero Cabelludo Y Del Cuello"
"D225","Nevo Melanocitico Del Tronco"
"D226","Nevo Melanocitico Del Miembro Superior; Incluido El Hombro"
"D227","Nevo Melanocitico Del Miembro Inferior; Incluida La Cadera"
"D229","Nevo Melanocitico; Sitio No Especificado"
"D230","Tumor Benigno De La Piel Del Labio"
"D231","Tumor Benigno De La Piel Del Parpado; Incluida La Comisura Palpebral"
"D232","Tumor Benigno De La Piel De La Oreja Y Del Conducto Auditivo Externo"
"D233","Tumor Benigno De La Piel De Otras Partes Y De Las No Especificadas De La Cara"
"D234","Tumor Benigno De La Piel Del Cuero Cabelludo Y Del Cuello"
"D235","Tumor Benigno De La Piel Del Tronco"
"D236","Tumor Benigno De La Piel Del Miembro Superior; Incluido El Hombro"
"D237","Tumor Benigno De La Piel Del Miembro Inferior; Incluida La Cadera"
"D239","Tumor Benigno De La Piel; Sitio No Especificado"
"D24X","Tumor Benigno De La Mama"
"D250","Leiomioma Submucoso Del Utero"
"D251","Leiomioma Intramural Del Utero"
"D252","Leiomioma Subseroso Del Utero"
"D259","Leiomioma Del Utero; Sin Otra Especificacion"
"D260","Tumor Benigno Del Cuello Del Utero"
"D261","Tumor Benigno Del Cuerpo Del Utero"
"D267","Tumor Benigno De Otras Partes Especificadas Del Utero"
"D269","Tumor Benigno Del Utero; Parte No Especificada"
"D27X","Tumor Benigno Del Ovario"
"D280","Tumor Benigno De La Vulva"
"D281","Tumor Benigno De La Vagina"
"D282","Tumor Benigno De La Trompa De Falopio Y De Los Ligamentos Uterinos"
"D287","Tumor Benigno De Otros Sitios Especificados De Los Organos Genitales Femeninos"
"D289","Tumor Benigno De Organo Genital Femenino; Sitio No Especificado"
"D290","Tumor Benigno Del Pene"
"D291","Tumor Benigno De La Prostata"
"D292","Tumor Benigno De Los Testiculos"
"D293","Tumor Benigno Del Epididimo"
"D294","Tumor Benigno Del Escroto"
"D297","Tumor Benigno De Otros Organos Genitales Masculinos"
"D299","Tumor Benigno De Organo Genital Masculino; Sitio No Especificado"
"D300","Tumor Benigno Del Rinon"
"D301","Tumor Benigno De La Pelvis Renal"
"D302","Tumor Benigno Del Ureter"
"D303","Tumor Benigno De La Vejiga"
"D304","Tumor Benigno De La Uretra"
"D307","Tumor Benigno De Otros Organos Urinarios"
"D309","Tumor Benigno De Organo Urinario No Especificado"
"D310","Tumor Benigno De La Conjuntiva"
"D311","Tumor Benigno De La Cornea"
"D312","Tumor Benigno De La Retina"
"D313","Tumor Benigno De La Coroides"
"D314","Tumor Benigno Del Cuerpo Ciliar"
"D315","Tumor Benigno De Las Glandulas Y De Los Conductos Lagrimales"
"D316","Tumor Benigno De La Orbita; Parte No Especificada"
"D319","Tumor Benigno Del Ojo; Parte No Especificada"
"D320","Tumor Benigno De Las Meninges Cerebrales"
"D321","Tumor Benigno De Las Meninges Raquideas"
"D329","Tumor Benigno De Las Meninges; Parte No Especificada"
"D330","Tumor Benigno Del Encefalo; Supratentorial"
"D331","Tumor Benigno Del Encefalo; Infratentorial"
"D332","Tumor Benigno Del Encefalo; Parte No Especificada"
"D333","Tumor Benigno De Los Nervios Craneales"
"D334","Tumor Benigno De La Medula Espinal"
"D337","Tumor Benigno De Otras Partes Especificadas Del Sistema Nervioso Central"
"D339","Tumor Benigno Del Sistema Nervioso Central; Sitio No Especificado"
"D34X","Tumor Benigno De La Glandula Tiroides"
"D350","Tumor Benigno De La Glandula Suprarrenal"
"D351","Tumor Benigno De La Glandula Paratiroides"
"D352","Tumor Benigno De La Hipofisis"
"D353","Tumor Benigno Del Conducto Craneofaringeo"
"D354","Tumor Benigno De La Glandula Pineal"
"D355","Tumor Benigno Del Cuerpo Carotideo"
"D356","Tumor Benigno Del Cuerpo Aortico Y De Otros Cuerpos Cromafines"
"D357","Tumor Benigno De Otras Glandulas Endocrinas Especificadas"
"D358","Tumor Benigno Pluriglandular"
"D359","Tumor Benigno De Glandula Endocrina No Especificada"
"D360","Tumor Benigno De Los Ganglios Linfaticos"
"D361","Tumor Benigno De Los Nervios Perifericos Y Del Sistema Nervioso Autonomo"
"D367","Tumor Benigno De Otros Sitios Especificados"
"D369","Tumor Benigno De Sitio No Especificado"
"D370","Tumor De Comportamiento Incierto O Desconocido Del Labio; De La Cavidad Bucal Y De La Faringe"
"D371","Tumor De Comportamiento Incierto O Desconocido Del Estomago"
"D372","Tumor De Comportamiento Incierto O Desconocido Del Intestino Delgado"
"D373","Tumor De Comportamiento Incierto O Desconocido Del Apendice"
"D374","Tumor De Comportamiento Incierto O Desconocido Del Colon"
"D375","Tumor De Comportamiento Incierto O Desconocido Del Recto"
"D376","Tumor De Comportamiento Incierto O Desconocido Del Higado; De La Vesicula Biliar Y Del Conducto Bili"
"D377","Tumor De Comportamiento Incierto O Desconocido De Otros Organos Digestivos Especificados"
"D379","Tumor De Comportamiento Incierto O Desconocido De Organos Digestivos; Sitio No Especificado"
"D380","Tumor De Comportamiento Incierto O Desconocido De Laringe"
"D381","Tumor De Comportamiento Incierto O Desconocido De La Traquea; De Los Bronquios Y Del Pulmon"
"D382","Tumor De Comportamiento Incierto O Desconocido De La Pleura"
"D383","Tumor De Comportamiento Incierto O Desconocido Del Mediastino"
"D384","Tumor De Comportamiento Incierto O Desconocido Del Timo"
"D385","Tumor De Comportamiento Incierto O Desconocido De Otros Organos Respiratorios Y Del Oido Medio"
"D386","Tumor De Comportamiento Incierto O Desconocido De Organos Respiratorios; Sitio No Especificado"
"D390","Tumor De Comportamiento Incierto O Desconocido Del Utero"
"D391","Tumor De Comportamiento Incierto O Desconocido Del Ovario"
"D392","Tumor De Comportamiento Incierto O Desconocido De La Placenta"
"D397","Tumor De Comportamiento Incierto O Desconocido De Otros Organos Genitales Femeninos"
"D399","Tumor De Comportamiento Incierto O Desconocido De Organo Genital Femenino No Especificado"
"D400","Tumor De Comportamiento Incierto O Desconocido De La Prostata"
"D401","Tumor De Comportamiento Incierto O Desconocido Del Testiculo"
"D407","Tumor De Comportamiento Incierto O Desconocido De Otros Organos Genitales Masculinos"
"D409","Tumor De Comportamiento Incierto O Desconocido De Organo Genital Masculino No Especificado"
"D410","Tumor De Comportamiento Incierto O Desconocido Del Rinon"
"D411","Tumor De Comportamiento Incierto O Desconocido De La Pelvis Renal"
"D412","Tumor De Comportamiento Incierto O Desconocido Del Ureter"
"D413","Tumor De Comportamiento Incierto O Desconocido De La Uretra"
"D414","Tumor De Comportamiento Incierto O Desconocido De La Vejiga"
"D417","Tumor De Comportamiento Incierto O Desconocido De Otros Organos Urinarios"
"D419","Tumor De Comportamiento Incierto O Desconocido De Organo Urinario No Especificado"
"D420","Tumor De Comportamiento Incierto O Desconocido De Las Meninges Cerebrales"
"D421","Tumor De Comportamiento Incierto O Desconocido De Las Meninges Raquideas"
"D429","Tumor De Comportamiento Incierto O Desconocido De Las Meninges; Parte No Especificada"
"D430","Tumor De Comportamiento Incierto O Desconocido Del Encefalo; Supratentorial"
"D431","Tumor De Comportamiento Incierto O Desconocido Del Encefalo; Infratentorial"
"D432","Tumor De Comportamiento Incierto O Desconocido Del Encefalo; Parte No Especificada"
"D433","Tumor De Comportamiento Incierto O Desconocido De Los Nervios Craneales"
"D434","Tumor De Comportamiento Incierto O Desconocido De La Medula Espinal"
"D437","Tumor De Comportamiento Incierto O Desconocido De Otras Partes Especificadas Del Sistema Nervioso Ce"
"D439","Tumor De Comportamiento Incierto O Desconocido Del Sistema Nervioso Central; Sitio No Especificado"
"D440","Tumor De Comportamiento Incierto O Desconocido De La Glandula Tiroides"
"D441","Tumor De Comportamiento Incierto O Desconocido De La Glandula Suprarrenal"
"D442","Tumor De Comportamiento Incierto O Desconocido De La Glandula Paratiroides"
"D443","Tumor De Comportamiento Incierto O Desconocido De La Glandula Hipofisis"
"D444","Tumor De Comportamiento Incierto O Desconocido Del Conducto Craneofaringeo"
"D445","Tumor De Comportamiento Incierto O Desconocido De La Glandula Pineal"
"D446","Tumor De Comportamiento Incierto O Desconocido Del Cuerpo Carotideo"
"D447","Tumor De Comportamiento Incierto O Desconocido Del Cuerpo Aortico Y Otros Cuerpos Cromafines"
"D448","Tumor De Comportamiento Incierto O Desconocido Con Afectacion Pluriglandular"
"D449","Tumor De Comportamiento Incierto O Desconocido De Glandula Endocrina No Especificada"
"D45X","Policitemia Vera"
"D460","Anemia Refractaria Sin Sideroblastos; Asi Descrita"
"D461","Anemia Refractaria Con Sideroblastos En Forma De Anillo"
"D462","Anemia Refractaria Con Exceso De Blastos [Areb]"
"D463","Anemia Refractaria Con Exceso De Blastos Con Transformacion"
"D464","Anemia Refractaria; Sin Otra Especificacion"
"D465","Anemia Refractaria Con Displasia Multilinaje"
"D466","Sindrome Mielodisplasico Con Anormalidad Cromosomica Aislada Del (5Q)"
"D467","Otros Sindromes Mielodisplasicos"
"D469","Sindrome Mielodisplasico; Sin Otra Especificacion"
"D470","Tumor De Comportamiento Incierto O Desconocido De Los Mastocitos E Histiocitos"
"D471","Enfermedad Mieloproliferativa Cronica"
"D472","Gammopatia Monoclonal"
"D473","Trombocitopenia (Hemorragica) Esencial"
"D474","Osteomielofibrosis"
"D475","Leucemia Eosinofilica Cronica [Sindrome Hipereosinofilico]"
"D477","Otros Tumores Especificados De Comportamiento Incierto O Desconocido Del Tejido Linfatico; De Los Or"
"D479","Tumores De Comportamiento Incierto O Desconocido Del Tejido Linfatico; De Los Organos Hematopoyetico"
"D480","Tumor De Comportamiento Incierto O Desconocido Del Hueso Y Cartilago Articular"
"D481","Tumor De Comportamiento Incierto O Desconocido Del Tejido Conjuntivo Y Otro Tejido Blando"
"D482","Tumor De Comportamiento Incierto O Desconocido De Los Nervios Perifericos Y Del Sistema Nervioso Aut"
"D483","Tumor De Comportamiento Incierto O Desconocido Del Retroperitoneo"
"D484","Tumor De Comportamiento Incierto O Desconocido Del Peritoneo"
"D485","Tumor De Comportamiento Incierto O Desconocido De La Piel"
"D486","Tumor De Comportamiento Incierto O Desconocido De La Mama"
"D487","Tumor De Comportamiento Incierto O Desconocido De Otros Sitios Especificados"
"D489","Tumor De Comportamiento Incierto O Desconocido; De Sitio No Especificado"
"D500","Anemia Por Deficiencia De Hierro Secundaria A Perdida De Sangre (Cronica)"
"D501","Disfagia Sideropenica"
"D508","Otras Anemias Por Deficiencia De Hierro"
"D509","Anemia Por Deficiencia De Hierro Sin Otra Especificacion"
"D510","Anemia Por Deficiencia De Vitamina B12 Debida A Deficiencia Del Factor Intrinseco"
"D511","Anemia Por Deficiencia De Vitamina B12 Debida A Mala Absorcion Selectiva De Vitamina B12 Con Protein"
"D512","Deficiencia De Trascobalamina Ii"
"D513","Otras Anemias Por Deficiencia Dietetica De Vitamina B12"
"D518","Otras Anemias Por Deficiencia De Vitamina B12"
"D519","Anemia Por Deficiencia De Vitamina B12; Sin Otra Especificacion"
"D520","Anemia Por Deficiencia Dietetica De Folatos"
"D521","Anemia Por Deficiencia De Folatos Inducida Por Drogas"
"D528","Otras Anemias Por Deficiencia De Folatos"
"D529","Anemia Por Deficiencia De Folatos; Sin Otra Especificacion"
"D530","Anemia Por Deficiencia De Proteinas"
"D531","Otras Anemias Megaloblasticas; No Clasificadas En Otra Parte"
"D532","Anemia Escorbutica"
"D538","Otras Anemias Nutricionales Especificadas"
"D539","Anemia Nutricional; No Especificada"
"D550","Anemia Debida A Deficiencia De Glucosa-6-Fosfato Deshidrogenasa [G6Fd]"
"D551","Anemia Debida A Otros Trastornos Del Metabolismo Del Glutation"
"D552","Anemia Debida A Trastornos De Las Enzimas Glucoliticas"
"D553","Anemia Debida A Trastornos Del Metabolismo De Los Nucleotidos"
"D558","Otras Anemias Debidas A Trastornos Enzimaticos"
"D559","Anemia Debida A Trastornos Enzimaticos; Sin Otra Especificacion"
"D560","Alfa Talasemia"
"D561","Beta Talasemia"
"D562","Delta-Beta Talasemia"
"D563","Rasgo Talasemico"
"D564","Persistencia Hereditaria De La Hemoglobina Fetal [Phhf]"
"D568","Otras Talasemias"
"D569","Talasemia; No Especificada"
"D570","Anemia Falciforme Con Crisis"
"D571","Anemia Falciforme  Sin Crisis"
"D572","Trastornos Falciformes Heterocigotos Dobles"
"D573","Rasgo Drepanocitico"
"D578","Otros Trastornos Falciformes"
"D580","Esferocitosis Hereditaria"
"D581","Eliptocitosis Hereditaria"
"D582","Otras Hemoglobinopatias"
"D588","Otras Anemias Hemoliticas Hereditarias Especificadas"
"D589","Anemia Hemolitica Hereditaria; Sin Otra Especificacion"
"D590","Anemia Hemolitica Autoinmune Inducida Por Drogas"
"D591","Otras Anemias Hemoliticas Autoinmunes"
"D592","Anemia Hemolitica No Autoinmune Inducida Por Drogas"
"D593","Sindrome Hemolitico-Uremico"
"D594","Otras Anemias Hemoliticas No Autoinmunes"
"D595","Hemoglobinuria Paroxistica Nocturna [Marchiafava- Micheli]"
"D596","Hemoglobinuria Debida A Hemolisis Por Otras Causas Externas"
"D598","Otras Anemias Hemoliticas Adquiridas"
"D599","Anemia Hemolitica Adquirida; Sin Otra Especificacion"
"D600","Aplasia Cronica Adquirida; Exclusiva De La Serie Roja"
"D601","Aplasia Transitoria Adquirida; Exclusiva De La Serie Roja"
"D608","Otras Aplasias Adquiridas; Exclusivas De La Serie Roja"
"D609","Aplasia Adquirida; Exclusiva De La Serie Roja; No Especificada"
"D610","Anemia Aplastica Constitucional"
"D611","Anemia Aplastica Inducida Por Drogas"
"D612","Anemia Aplastica Debida A Otros Agentes Externos"
"D613","Anemia Aplastica Idiopatica"
"D618","Otras Anemias Aplasticas Especificadas"
"D619","Anemia Aplastica; Sin Otra Especificacion"
"D62X","Anemia Posthemorragica Aguda"
"D630","Anemia En Enfermedad Neoplasica"
"D638","Anemia En Otras Enfermedades Cronicas Clasificadas En Otra Parte"
"D640","Anemia Sideroblastica Hereditaria"
"D641","Anemia Sideroblastica Secundaria A Otra Enfermedad"
"D642","Anemia Sideroblastica Secundaria; Debida A Drogas Y Toxinas"
"D643","Otras Anemias Sideroblasticas"
"D644","Anemia Diseritropoyetica Congenita"
"D648","Otras Anemias Especificadas"
"D649","Anemia De Tipo No Especificado"
"D65X","Coagulacion Intravascular Diseminada [Sindrome De Desfibrinacion]"
"D66X","Deficiencia Hereditaria Del Factor Viii"
"D67X","Deficiencia Hereditaria Del Factor Ix"
"D680","Enfermedad De Von Willebrand"
"D681","Deficiencia Hereditaria Del Factor Xi"
"D682","Deficiencia Hereditaria De Otros Factores De La Coagulacion"
"D683","Trastorno Hemorragico Debido A Anticoagulantes Circulantes"
"D684","Deficiencia Adquirida De Factores De La Coagulacion"
"D685","Trombofilia Primaria"
"D686","Otra Trombofilia"
"D688","Otros Defectos Especificados De La Coagulacion"
"D689","Defecto De La Coagulacion; No Especificado"
"D690","Purpura Alergica"
"D691","Defecto Cualitativos De Las Plaquetas"
"D692","Otras Purpuras No Trombocitopenicas"
"D693","Purpura Trombocitopenica Idiopatica"
"D694","Otras Trombocitopenias Primarias"
"D695","Trombocitopenia Secundaria"
"D696","Trombocitopenia No Especificada"
"D698","Otras Afecciones Hemorragicas Especificadas"
"D699","Afeccion Hemorragica; No Especificada"
"D70X","Agranulocitosis"
"D71X","Trastornos Funcionales De Los Polimorfonucleares Neutrofilos"
"D720","Anomalias Geneticas De Los Leucocitos"
"D721","Eosinofilia"
"D728","Otros Trastornos Especificados De Los Leucocitos"
"D729","Trastorno De Los Leucocitos; No Especificado"
"D730","Hipoesplenismo"
"D731","Hiperesplenismo"
"D732","Esplenomegalia Congestiva Cronica"
"D733","Absceso Del Bazo"
"D734","Quiste Del Bazo"
"D735","Infarto Del Bazo"
"D738","Otras Enfermedades Del Bazo"
"D739","Enfermedad Del Bazo; No Especificada"
"D740","Metahemoglobinemia Congenita"
"D748","Otras Metahemoglobinemias"
"D749","Metahemoglobinemia; No Especificada"
"D750","Eritrocitosis Familiar"
"D751","Policitemia Secundaria"
"D752","Trombocitosis Esencial"
"D758","Otras Enfermedades Especificadas De La Sangre Y De Los Organos Hematopoyeticos"
"D759","Enfermedad De La Sangre Y De Los Organos Hematopoyeticos; No Especificada"
"D760","Histiocitosis De Las Celulas De Langerhans; No Clasificada En Otra Parte"
"D761","Linfohistiocitosis Hemofagocitica"
"D762","Sindrome Hemofagocitico Asociado A Infeccion"
"D763","Otros Sindromes Histiociticos"
"D77X","Otros Trastornos De La Sangre Y De Los Organos Hematopoyeticos En Enfermedades Clasificadas En Otra "
"D800","Hipogammaglobulinemia Hereditaria"
"D801","Hipogammaglobulinemia No Familiar"
"D802","Deficiencia Selectiva De Inmunoglobulina A [Iga]"
"D803","Deficiencia Selectiva De Subclases De La Inmunoglobulina G [Igg]"
"D804","Deficiencia Selectiva De Inmunoglobulina M [Igm]"
"D805","Inmunodeficiencia Con Incremento De Inmunoglobulina M [Igm]"
"D806","Deficiencia De Anticuerpos Con Inmunoglobulinas Casi Normales O Con Hiperinmunoglobulinemia"
"D807","Hipogammaglobulinemia Transitoria De La Infancia"
"D808","Otras Inmunodeficiencias Con Predominio De Defectos De Los Anticuerpos"
"D809","Inmunodeficiencia Con Predominio De Defectos De Los Anticuerpos; No Especificada"
"D810","Inmunodeficiencia Combinada Severa [Idcs] Con Disgenesia Reticular"
"D811","Inmunodeficiencia Combinada Severa [Idcs] Con Linfocitopenia T Y B"
"D812","Inmunodeficiencia Combinada Severa [Idcs] Con Cifra Baja O Normal De Linfocitos B"
"D813","Deficiencia De La Adenosina Deaminasa [Ada]"
"D814","Sindrome De Nezelof"
"D815","Deficiencia De La Fosforilasa Purinonucleosida [Fpn]"
"D816","Deficiencia De La Clase I Del Complejo De Histocompatibilidad Mayor"
"D817","Deficiencia De La Clase Ii Del Complejo De Histocompatibilidad Mayor"
"D818","Otras Inmunodeficiencias Combinadas"
"D819","Inmunodeficiencia Combinada; No Especificada"
"D820","Sindrome De Wiskott-Aldrich"
"D821","Sindrome De Di George"
"D822","Inmunodeficiencia Con Enanismo Micromelico [Miembros Cortos]"
"D823","Inmunodeficiencia Consecutiva A Respuesta Defectuosa Hereditaria Contra El Virus De Epstein-Barr"
"D824","Sindrome De Hiperinmunoglobulina E [Ige]"
"D828","Inmunodeficiencia Asociada Con Otros Defectos Mayores Especificados"
"D829","Inmunodeficiencia Asociada Con Defectos Mayores No Especificados"
"D830","Inmunodeficiencia Variable Comun Con Predominio De Anormalidades En El Numero Y La Funcion De Los Li"
"D831","Inmunodeficiencia Variable Comun Con Predominio De Trastornos Inmunorreguladores De Los Linfocitos T"
"D832","Inmunodeficiencia Variable Comun Con Autoanticuerpos Anti-B O Anti-T"
"D838","Otras Inmunodeficiencias Variables Comunes"
"D839","Inmunodeficiencia Variable Comun; No Especificada"
"D840","Defecto De La Funcion Del Antigeno-1 Del Linfocito [Lfa-1]"
"D841","Defecto Del Sistema Del Complemento"
"D848","Otras Inmunodeficiencias Especificadas"
"D849","Inmunodeficiencia; No Especificada"
"D860","Sarcoidosis Del Pulmon"
"D861","Sarcoidosis De Los Ganglios Linfaticos"
"D862","Sarcoidosis Del Pulmon Y De Los Ganglios Linfaticos"
"D863","Sarcoidosis De La Piel"
"D868","Sarcoidosis De Otros Sitios Especificados O De Sitios Combinados"
"D869","Sarcoidosis De Sitio No Especificado"
"D890","Hipergammaglobulinemia Policlonal"
"D891","Crioglobulinemia"
"D892","Hipergammaglobulinemia; No Especificada"
"D893","Sindrome De Reconstitucion Inmune"
"D898","Otros Trastornos Especificados Que Afectan El Mecanismo De La Inmunidad; No Clasificados En Otra Par"
"D899","Trastorno Que Afecta Al Mecanismo De La Inmunidad; No Especificado"
"E000","Sindrome Congenito De Deficiencia De Yodo; Tipo Neurologico"
"E001","Sindrome De Deficiencia Congenita De Yodo; Tipo Mixedematoso"
"E002","Sindrome Congenito De Deficiencia De Yodo; Tipo Mixto"
"E009","Sindrome Congenito De Deficiencia De Yodo; No Especificado"
"E010","Bocio Difuso (Endemico) Relacionado Con Deficiencia De Yodo"
"E011","Bocio Multinodular (Endemico) Relacionado Con Deficiencia De Yodo"
"E012","Bocio (Endemico) Relacionado Con Deficiencia De Yodo; No Especificado"
"E018","Otros Trastornos De La Tiroides Relacionados Con Deficiencia De Yodo Y Afecciones Similares"
"E02X","Hipotiroidismo Subclinico Por Deficiencia De Yodo"
"E030","Hipotiroidismo Congenito Con Bocio Difuso"
"E031","Hipotiroidismo Congenito Sin Bocio"
"E032","Hipotiroidismo Debido A Medicamentos Y A Otras Sustancias Exogenas"
"E033","Hipotiroidismo Postinfeccioso"
"E034","Atrofia De Tiroides (Adquirida)"
"E035","Coma Mixedematoso"
"E038","Otros Hipotiroidismos Especificados"
"E039","Hipotiroidismo; No Especificado"
"E040","Bocio Difuso No Toxico"
"E041","Nodulo Tiroideo Solitario No Toxico"
"E042","Bocio Multinodular No Toxico"
"E048","Otros Bocios No Toxicos Especificados"
"E049","Bocio No Toxico; No Especificado"
"E050","Tirotoxicosis Con Bocio Difuso"
"E051","Tirotoxicosis Con Nodulo Solitario Tiroideo Toxico"
"E052","Tirotoxicosis Con Bocio Multinodular Toxico"
"E053","Tirotoxicosis Por Tejido Tiroideo Ectopico"
"E054","Tirotoxicosis Facticia"
"E055","Crisis O Tormenta Tirotoxica"
"E058","Otras Tirotoxicosis"
"E059","Tirotoxicosis; No Especificada"
"E060","Tiroiditis Aguda"
"E061","Tiroiditis Subaguda"
"E062","Tiroiditis Cronica Con Tirotoxicosis Transitoria"
"E063","Tiroiditis Autoinmune"
"E064","Tiroiditis Inducida Por Drogas"
"E065","Otras Tiroiditis Cronicas"
"E069","Tiroiditis; No Especificada"
"E070","Hipersecrecion De Calcitonina"
"E071","Bocio Dishormogenetico"
"E078","Otros Trastornos Especificados De La Glandula Tiroides"
"E079","Trastorno De La Glandula Tiroides; No Especificado"
"E100","Diabetes Mellitus Insulinodependiente; Con Coma"
"E101","Diabetes Mellitus Insulinodependiente; Con Cetoacidosis"
"E102","Diabetes Mellitus Insulinodependiente; Con Complicaciones Renales"
"E103","Diabetes Mellitus Insulinodependiente; Con Complicaciones Oftalmicas"
"E104","Diabetes Mellitus Insulinodependiente; Con Complicaciones Neurologicas"
"E105","Diabetes Mellitus Insulinodependiente; Con Complicaciones Circulatorias Perifericas"
"E106","Diabetes Mellitus Insulinodependiente; Con Otras Complicaciones Especificadas"
"E107","Diabetes Mellitus Insulinodependiente; Con Complicaciones Multiples"
"E108","Diabetes Mellitus Insulinodependiente; Con Complicaciones No Especificadas"
"E109","Diabetes Mellitus Insulinodependiente; Sin Mencion De Complicacion"
"E110","Diabetes Mellitus No Insulinodependiente; Con Coma"
"E111","Diabetes Mellitus No Insulinodependiente; Con Cetoacidosis"
"E112","Diabetes Mellitus No Insulinodependiente; Con Complicaciones Renales"
"E113","Diabetes Mellitus No Insulinodependiente; Con Complicaciones Oftalmicas"
"E114","Diabetes Mellitus No Insulinodependiente; Con Complicaciones Neurologicas"
"E115","Diabetes Mellitus No Insulinodependiente; Con Complicaciones Circulatorias Perifericas"
"E116","Diabetes Mellitus No Insulinodependiente; Con Otras Complicaciones Especificadas"
"E117","Diabetes Mellitus No Insulinodependiente; Con Complicaciones Multiples"
"E118","Diabetes Mellitus No Insulinodependiente; Con Complicaciones No Especificadas"
"E119","Diabetes Mellitus No Insulinodependiente; Sin Mencion De Complicacion"
"E120","Diabetes Mellitus Asociada Con Desnutricion; Con Coma"
"E121","Diabetes Mellitus Asociada Con Desnutricion; Con Cetoacidosis"
"E122","Diabetes Mellitus Asociada Con Desnutricion; Con Complicaciones Renales"
"E123","Diabetes Mellitus Asociada Con Desnutricion; Con Complicaciones Oftalmicas"
"E124","Diabetes Mellitus Asociada Con Desnutricion; Con Complicaciones Neurologicas"
"E125","Diabetes Mellitus Asociada Con Desnutricion; Con Complicaciones Circulatorias Perifericas"
"E126","Diabetes Mellitus Asociada Con Desnutricion; Con Otras Complicaciones Especificadas"
"E127","Diabetes Mellitus Asociada Con Desnutricion; Con Complicaciones Multiples"
"E128","Diabetes Mellitus Asociada Con Desnutricion; Con Complicaciones No Especificadas"
"E129","Diabetes Mellitus Asociada Con Desnutricion; Sin Mencion De Complicacion"
"E130","Otras Diabetes Mellitus Especificadas; Con Coma"
"E131","Otras Diabetes Mellitus Especificadas; Con Cetoacidosis"
"E132","Otras Diabetes Mellitus Especificadas; Con Complicaciones Renales"
"E133","Otras Diabetes Mellitus Especificadas; Con Complicaciones Oftalmicas"
"E134","Otras Diabetes Mellitus Especificadas; Con Complicaciones Neurologicas"
"E135","Otras Diabetes Mellitus Especificadas; Con Complicaciones Circulatorias Perifericas"
"E136","Otras Diabetes Mellitus Especificadas; Con Otras Complicaciones Especificadas"
"E137","Otras Diabetes Mellitus Especificadas; Con Complicaciones Multiples"
"E138","Otras Diabetes Mellitus Especificadas; Con Complicaciones No Especificadas"
"E139","Otras Diabetes Mellitus Especificadas; Sin Mencion De Complicacion"
"E140","Diabetes Mellitus No Especificada; Con Coma"
"E141","Diabetes Mellitus No Especificada; Con Cetoacidosis"
"E142","Diabetes Mellitus No Especificada; Con Complicaciones Renales"
"E143","Diabetes Mellitus No Especificada; Con Complicaciones Oftalmicas"
"E144","Diabetes Mellitus No Especificada; Con Complicaciones Neurologicas"
"E145","Diabetes Mellitus No Especificada; Con Complicaciones Circulatorias Perifericas"
"E146","Diabetes Mellitus No Especificada; Con Otras Complicaciones Especificadas"
"E147","Diabetes Mellitus No Especificada; Con Complicaciones Multiples"
"E148","Diabetes Mellitus No Especificada; Con Complicaciones No Especificadas"
"E149","Diabetes Mellitus No Especificada; Sin Mencion De Complicacion"
"E15X","Coma Hipoglicemico No Diabetico"
"E160","Hipoglicemia Sin Coma; Inducida Por Drogas"
"E161","Otras Hipoglicemias"
"E162","Hipoglicemia; No Especificada"
"E163","Secrecion Exagerada Del Glucagon"
"E164","Secrecion Anormal De Gastrina"
"E168","Otros Trastornos Especificados De La Secrecion Interna Del Pancreas"
"E169","Trastornos De La Secrecion Interna Del Pancreas; Sin Otra Especificacion"
"E200","Hipoparatiroidismo Idiopatico"
"E201","Pseudohipoparatiroidismo"
"E208","Otros Tipos De Hipoparatiroidismo"
"E209","Hipoparatiroidismo; No Especificado"
"E210","Hiperparatiroidismo Primario"
"E211","Hiperparatiroidismo Secundario No Clasificado En Otra Parte"
"E212","Otros Tipos De Hiperparatiroidismo"
"E213","Hiperparatiroidismo; Sin Otra Especificacion"
"E214","Otros Trastornos Especificados De La Glandula Paratiroides"
"E215","Trastorno De La Glandula Paratiroides; No Especificado"
"E220","Acromegalia Y Gigantismo Hipofisario"
"E221","Hiperprolactinemia"
"E222","Sindrome De Secrecion Inapropiada De Hormona Anitidiuretica"
"E228","Otras Hiperfunciones De La Glandula Hipofisis"
"E229","Hiperfuncion De La Glandula Hipofisis; No Especificada"
"E230","Hipopituitarismo"
"E231","Hipopituitarismo Inducido Por Drogas"
"E232","Diabetes Insipida"
"E233","Disfuncion Hipotalamica; No Clasificada En Otra Parte"
"E236","Otros Trastornos De La Glandula Hipofisis"
"E237","Trastorno De La Glandula Hipofisis; No Especificado"
"E240","Enfermedad De Cushing Dependiente De La Hipofisis"
"E241","Sindrome De Nelson"
"E242","Sindrome De Cushing Inducido Por Drogas"
"E243","Sindrome De Acth Ectopico"
"E244","Sindrome De Seudo-Cushing Inducido Por Alcohol"
"E248","Otros Tipos De Sindrome De Cushing"
"E249","Sindrome De Cushing; No Especificado"
"E250","Trastornos Adrenogenitales Congenitos Con Deficiencia Enzimatica"
"E258","Otros Trastornos Adrenogenitales"
"E259","Trastorno Adrenogenital; No Especificado"
"E260","Hiperaldosteronismo Primario"
"E261","Hiperaldosteronismo Secundario"
