"nombre","municipio","correo","direccion","telefono","gerente"
"IPS DE LAS AMERICAS SAS","CÚCUTA","ucisdecolombiaut@gmail.com","AVENIDAD 11E # 5AN-71 PISO 2","3204915795","BERNANRDO PACHECO MALDONADO"
"IPS FIGURA`S SPA CUCUTA S.A.S","CÚCUTA","ipsfigurascucuta@gmail.com","CALLE 21A No 0B-122","5710828/315852 5385","ESTRELLA MARIA BARBOSA MERCADO"
"IPS LOS OLIVOS","CÚCUTA","eseimsalud@hotmail.com","AVENIDA 47 A 8-10","5827007","JUAN AGUSTIN RAMIREZ MONTOYA"
"IPS MARIA DE LOS ANGELES S.A.S.","CÚCUTA","ipsmariadelosangeles1@hotmail.com","CALLE 0 Nº 0-18 BARRIO COMUNEROS","5943161- 3223654564","JOSE MANUEL ROPERO TUTA"
"IPS MEDCARE DE COLOMBIA S.A.S.","CÚCUTA","MED_CARELTDA@HOTMAIL.COM","AV 2E Nº 5-23","5777188","LINDA MARCELA GARCIA PARADA"
"IPS MEDICINA ESPECIALIZADA DEL RIESGO EN SALUD DEL SUR SAS","CÚCUTA","ipsmegsalud@gmail.com","MANZA J3 LT9 PRIMERA ETAPA ATALAYA","5943161- 3168312436","HEDDY YASMIT TUTA GARCIA"
"IPS ORTHOCREDIT E.U.","CÚCUTA","orthocredit@gmail.com","AV 1 E No. 3-27 BARRIO LA CEIBA","5753833- 3103410325","LIANYS ESTELA BARRIOS MORENO"
"IPS PROGRESANDO EN SALUD S.A.S","CÚCUTA","gerencia@ipsprogresandoensalud.com","CALLE 16 N° 0-85 BARRIO LA PLAYA","5893021","JESUS EMIRO SANDOVAL LOZANO"
"IPS REHABILIT SPORT SAS","CÚCUTA","ipsrehabilitsport@gmail.com","CALLE 0AN N° 1E-24","5719986","KELBIN DARIO DELGADO PEÑA"
"IPS REHABILITACION INTEGRAL MARTA OMAÑA ASOCIADOS S.A.S","CÚCUTA","maroma741@hotmail.com","AVENIDA GRAN COLOMBIA No. 5E-72","5751284","MARTHA YANETH OMAÑA CARRILLO"
"IPS SAN FAUSTINO","CÚCUTA","eseimsalud@hotmail.com","SAN FAUSTINO","5666547","JUAN AGUSTIN RAMIREZ MONTOYA"
"IPS SAN LUIS","CÚCUTA","gerencia@imsalud.gov.co","AVENIDA 5 N°12-46 BARRIO SAN LUIS","5784980 EXT 350","JUAN AGUSTIN RAMIREZ MONTOYA"
"IPS SINSA EMERGENCIAS SAS","CÚCUTA","coordinador_emergencias@hotmail.com","CALLE 11BN N° 5-89 BARRIO NAPOLES DEL BOSQUE","3012927390","JESUS ALEXIS SANCHEZ GONZALEZ"
"LABORATORIO BIOIMAGEN SOCIEDAD LIMITADA","CÚCUTA","garantiadecalidad@bioimagen.com.co","CALLE 8 Nº 1E-125 BARRIO POPULAR","3006975519 3022845896","DENNYS KARINA TOVAR LANDINEZ"
"LABORATORIO CLINICO CORREAL ZUÑIGA S.A.S.","CÚCUTA","yolimagomez@yahoo.es","Avenida 0 No 11 - 129 (2)","5716231","Edgar Galvis Corona"
"LABORATORIO CLÍNICO ESPECIALIZADO CARLOS MONTOYA & SUAREZ S.A.S.","CÚCUTA","carlosamontoyag@hotmail.com","AVENIDA 0 N° 11-161 CONSULTORIO 103 EDIFICIO NEGOMON, BARRIO","5728879-5715563","CARLOS AUGUSTO MONTOYA GONZALEZ"
"LABORATORIO MEDICO ECHAVARRIA S.A.S.","CÚCUTA","gescalidad@labechavarria.com","CL 0 Nº 9E-156","3122748415","ERICKSON ALEJANDRO MARIN GIRALDO"
"LABORATORIO Y SERVICIOS S.A.S","CÚCUTA","labyserv@hotmail.com","AVENIDA 0 No. 10-70 CONSULTORIO 207","5718283","MARINO ALBERTO VARGAS GELVIS"
"LIGA NORTE SANTANDEREANA DE LUCHA CONTRA EL CANCER","CÚCUTA","licancer@hotmail.com","CALLE 12 # 2-38","5718424","Maria Ines Celis Gutierrez"
"MEDICAL DUARTE ZF S.A.S","CÚCUTA","medicalduarte@gmail.com","AVENIDAD LIBERTADORES N. 0-71","5752938","JESUS JAVIER DUARTE QUINTERO"
"MEDICINA INTEGRAL MIKEL S.A.S.","CÚCUTA","medicinaintegral_sas@hotmail.com","Avenida 1 No 17 - 08","5956788- 3015252263","SONIA MARITZA ACEVEDO MARQUEZ"
"MEDICINA Y SALUD INTEGRAL PARA LA FAMILIA IPS SAS","CÚCUTA","gerencia@medysaludips.com","calle 3 # 0-21E","037-5751104","HEIDY YOHANA QUINTERO RUEDAS"
"MEDICINAS Y TERAPIAS, ATENCION DOMICILIARIA MEDITAD IPS S.A.S.","CÚCUTA","gerencia.meditadips@gmail.com","CALLE 17A N° 1E-22 BARRIO CAOBOS","3016100175- 3115912938- 3209026812","GLORIA ELVIRA PARDO RODRIGUEZ"
"MEDICUC IPS LTDA 1","CÚCUTA","medicucips@gmail.com","Avenida 3AE N. 13A-38","5830482","FABIO RENE RINCON NAVARRO"
"MEDINORTE CÚCUTA IPS S.A.S.","CÚCUTA","byperez@medinorte.com.co","CALLE 6N 11E - 123 BARRIO SANTA LUCIA","5892400- 3158523116","ALEJANDRO CAMARGO OROZCO"
"MEDISALUD CONSULTORIAS S.A.S","CÚCUTA","medisaludconsultorias@gmail.com","AVENIDA 1 No. 15-43 CONSULTORIO 105","3005011508","LUZ ELENA OCHOA VILLADIEGO"
"MEDMOVIL S.A.S.","CÚCUTA","gerencia@medmovil.com.co","AVENIDA 0 N° 15-44 BARRIO LA PLAYA","5831461- 3503232505","CARLOS EDUARDO RUBIO CHAUSTRE"
"morado sas","CÚCUTA","gerencia@odontoimagenes.com","Avenida 0 #11-12 LC 147","3108219228","Sandra Dorronsoro"
"MUTUAL HEALT CARE SALUD TOTAL PARA TODOS S.A.S","CÚCUTA","npediatra@gmail.com","AVENIDA 9E N° 12-50 BARRIO LA RIVIERA","3155783154","NANCY BEATRIZ PACHECO CACERES"
"Neumología y Servicios de Rehabilitación NEUMOSER S.A.S","CÚCUTA","subgerente.neumoser@gmail.com","CALLE 10 #9E-84","3143338772- 3176420096- 5489100","JORGE RICARDO GRANADOS QUIÑONES"
"NEURO NORTE S.A.S.","CÚCUTA","vilkymoreno@hotmail.com","AVENIDA 1 N° 15-43 BARRIO LA PLAYA CONS. 510","5833775- 3105583671","VILKY MARIA ALEXANDRA MORENO VILLAMIZAR"
"NEUROALIADOS MEDICINA ESPECIALIZADA S.A.S.","CÚCUTA","neuroaliados@hotmail.com","CALLE 14A N° 2E-85 PISO 4 BARRO CAOBOS","5949807","MUSTAFA SALEH ATTALAH EMAD"
"NEUROCOOP REHABILITACION FISICA Y MEDICA INTEGRAL","CÚCUTA","gerencia@neurocoop.com.co","CALLE 14A #2E-85 EDIFICIO SARIS PISO 2 Y 3","5956185 EXT 117- 116 -115","SANDRA PATRICIA DIAZ OCAMPO"
"NORDVITAL IPS S.A.S.","CÚCUTA","centroespecialistasdelavision@gmail.com","Calle 14A No 2E - 86","5741618","Farid Humberto Melendez Zapata"
"NORTAC LTDA","CÚCUTA","nortacltda@hotmail.com","CALLE 18 # 0- 57 B. BLANCO","5724965- 3162291846","JOSE MANUEL PINZON ROJAS"
"NORTE SALUD S.A.","CÚCUTA","nortesaludips@gmail.com","AV 1 # 21-60 B. BLANCO","5834422","JUAN RUPERTO RAMIREZ LABRADOR"
"NUCLEAR SAN JOSE S.A.","CÚCUTA","","CLL.13 # 1E-44 CONS.101 BLOQUE B","","ALVARO SALGAR VILLAMIZAR"
"ODONTOCUCUTA S.A","CÚCUTA","info@odontocucuta.com","AV. 3E #13A-07 CAOBOS","5713966","GERMAN ENRIQUE PEREZ ARANGUREN"
"ODONTOVIDA SAS","CÚCUTA","argenisisabel@gmail.com","AV 9E # 6-29 EDIFICIO DIANA CAROLINA LOCAL 1","(57) (5) 755017","SANTIAGO BARON SOTO"
"ONCOMEDICAL I.P.S. S.A.S","CÚCUTA","ONCOMEDICALIPS@YAHOO.COM","AV. 1 No 15-43 CENTRO MEDICO ESPECIALISTAS JERICO PISO 2 Y 3","5725256","RUTH FABIOLA RAMIREZ ESPINOSA"
"optica cientifica Y cia ltda","CÚCUTA","OPTICACIENTIFICAPLUSS@HOTMAIL.COM","CLL 11 0-24 LC 109","5715869-5718485- 5711017","MIGUEL ORIELSO CARDENAS ALVAREZ"
"OPTICA COLSANITAS SAS","CÚCUTA","optisanitas@hotmail.com","AVENIDA GRAN COLOMBIA # 1E 28","5763363","NIDIA PINEDA CABALLERO"
"OPTICA LINDAVISION IPS S.A.S.","CÚCUTA","opticaslindavision@hotmail.com","AV 3 Nº 10-24 BARRIO CENTRO","5710550- 315286709","ALEXANDER SUAREZ RINCON"
"OPTIKUS S.A.","CÚCUTA","gerencia.general@optikus.com.co","AV. 0 # 13-195","(577) 5715091 - 3008960701 - 3008960111","NATALIA DEL PILAR MOGOLLON JARAMILLO"
"ORALX CUCUTA LTDA","CÚCUTA","oralxcucuta3d@hotmail.com","calle 9 No 0E-88 LC 101-102 urb rosetal","3102738210","HECTOR MAURICIO URON VILLAN"
"ORGANIZACION LADMEDIS S.A.S.","CÚCUTA","sistemas.ladmedisips@outlook.com","CALLE 0 # 9-04 - 9-18","5949897","LIZARDO ANTONIO AMAYA DIAZ"
"ORGANIZACIÓN VIHONCO IPS SAS CÚCUTA","CÚCUTA","director.cucuta@vihonco.com","CALLE 9 5E-43 LA RIVIERA","5955867","ELMIR JIMENEZ SALAZAR"
"PIEL MEDICALSPA CENTRO DERMATOLOGICO IPS SAS","CÚCUTA","pielmedicalspa@hotmail.com","CALLE 21B 0B 106","5722889","GABRIEL MATAMOROS BARRETO"
"POLICLINICO DE JUAN ATALAYA","CÚCUTA","ubpoliclinico@imsalud.gov.co","CLL. 4 DN No 25-40","5810863","JUAN AGUSTIN RAMIREZ MONTOYA"
"PRINSO I.P.S SAS","CÚCUTA","prinsoltda@gmail.com","CL. 6 7E-26","5775856","CLAUDIA MILENA CAMACHO PEDRAZA"
"PROFESIONALES DE ESPECIALIDADES MEDICAS S.A.S.","CÚCUTA","proesmedips@gmail.com","CALLE 16A N° 2E-25 BARRIO CAOBOS","3164916798","MARIA FERNANDA YAÑEZ URREA"
"PROTECCION INTEGRAL EN SALUD Y RIESGOS S.A.S.","CÚCUTA","proinsarcucuta@gmail.com","AVENIDA 9E No. 6-31 BARRIO COLZAG","5922906- 3012584182","SCARIETT VISBAL MORALES"
"PROVIDA FARMACEUTICA SAS","CÚCUTA","coordinacion@centraldeespecialistasips.c","CALLE 4 DN No 20 - 109","5956605 - 3145882969 - 3006274505","ELGA EHRHARDT GUTIERREZ"
"RADIOTERAPIA DEL NORTE LTDA.","CÚCUTA","","AV.2 # 17-94","",""
"Red Global Medical S.A.S","CÚCUTA","gerencia@redglobalmedicalips.com","CALLE 6N 11E - 123 BARRIO SANTA LUCIA","5891418","Juan Carlos Villamizar Rojas"
"REHABILITAR CUCUTA LTDA","CÚCUTA","rehabilitarcucuta@gmail.com, rehabilitar","CALLE 13A N° 1E-35 BARRIO CAOBOS","5943212- 3208375703","JUAN CARLOS JIMENEZ VARGAS-GENNY PAOLA AGREDO ANGARITA"
"RESPIRAR S.A.S.","CÚCUTA","respirarsas@hotmail.com","CALLE 15 A #1E-31","5722683",""
"RTS S.A.S","CÚCUTA","edwin_correa@baxter.com","CALLE 13 # 1E-39 LOS CAOBOS","5880701","EDWIN DEIVIS CORREA SANCHEZ"
"Ruan Rehacer & Cia SAS","CÚCUTA","contabilidad@ruanrehacer.com","Calle 7 No 9E - 22 Barrio Colsag","3173003020","RENE FERNANDO CASTILLO"
"Salud Empresarial IPS S.A.S","CÚCUTA","saludempresarialips@gmail.com","Calle 3A N 1E-09","5751016","Javier Enrique Florez Pasto"
"SALUD SOCIAL SOCIEDAD POR ACCIONES SIMPLIFICADA","CÚCUTA","coordinadoradministrativocta@saludsocial","AVENIDA 1 No 20 - 46","3216716330 - 3107408951 - 5956605 Ext 13","WILLIAM HERNANDO MOLINA MENDEZ"
"SAN LUIS GONZAGA IPS SAS","CÚCUTA","f.sanluisgonzaga@hotmail.com","CALLE 6N #12E - 44","5779120","WILSON ELOY MONTAÑEZ CACERES"
"SANAMEDIC SOCIEDAD POR ACCIONES SIMPLIFICADA - S.A.S","CÚCUTA","sanamedic@gmail.com","calle 11AN # 11AE - 68","3105585911 - 3188567012","ALVARO ENRIQUE NAVARRO BONETT"
"SANATY IPS S.A.S.","CÚCUTA","gtovarovallos@gmail.com","CALLE 13A N 1E-112 CAOBOS","5955421","GUSTAVO EDUARDO TOVAR OVALLOS"
"SCIRE CLINICAL DIAGNOSIS","CÚCUTA","pino1174@hotmail.com","Av 0A # 21-27 L 2","3.005.707.483","HELBER PINO NAVARRO"
"SEGURIDAD Y SALUD LABORAL INTEGRAL IPS SAS","CÚCUTA","syslabips@gmail.com","CLL 1 #9E-106","5740172- 5746401- 3144280081- 3124949888","ANGELA MARIA PERUTTI ARAQUE"
"serviambulancias del oriente sas","CÚCUTA","serviambulanciasdelorientesas@gmail.com","AVENIDA 3ra #12-23/27 SAN LUIS","3107996691","HERMAN DARIO GORCIRA DIAZ"
"SERVICIO DE ASISTENCIA MEDICA INMEDIATA S.A.","CÚCUTA","samicucuta123@gmail.com","AV. 5E #9-07 URB. SAYAGO","5772323","VICTOR GERARDO REYES ALVAREZ"
"SERVICIO INTEGRAL DE SALUD OCUPACIONAL LTDA SISO","CÚCUTA","sisoltda96@hotmail.com","CALLE 19 No. 0 -49","5838341- 3174340381- 5712921","JAIRO ROZO FERNANDEZ"
"servicios de salud IPS Suramericana S.A.","CÚCUTA","mjamis@sura.com.co","AV. GRANCOLOMBIA NRO. 9E - 120 PISO 1","5776703- 3106308655","Marta Lucia Jamis Dow"
"SERVICIOS ESPECIALIZADOS FCB S.A.S","CÚCUTA","gerencia@sefcb.co","Av. 2 Calle 19 # 1-44","5830000 - 3208540015 - 3202745025 - 3202","DIANA CRISTINA GIRALDO BECERRA"
"SERVICIOS INTEGRALES EN SALUD MENTAL LTDA","CÚCUTA","clinicastella@msn.com","CALLE 14 # 1 - 55","57.178.025.717.001","ROSAURA RODRIGUEZ COBOS"
"SERVICIOS RESPIRATORIOS DEL NORTE S.A.S.","CÚCUTA","neumonortesas@gmail.com","CALLE 3 N° 7E-121 BARRIO QUINTA ORIENTAL","5770932","JULIO CESAR FLOREZ GONZALEZ"
"SERVICIOS VIVIR S.A.S.","CÚCUTA","serviciosvivirsas@hotmail.com","AV 11 ESTE N° 5AN-71 HOSPITAL UNIVERSITARIO ERASMO MEOZ AREA","5746888 EXT 1130 - 5777024 - 5743981","WALDO ALBERTO ABREO NUÑEZ"
"Servimedig del Norte Ips S.A.S","CÚCUTA","servimedigips@gmail.com","Av 3E # 15A - 42","5896702","Jenny Paola Silva Paez"
"SERVIMOS AMBULANCIAS DE COLOMBIA IPS S.A.S.","CÚCUTA","servimoscucuta@gmail.com","CALLE 0 N° 1E-06 BARRIO QUINTA BOSH","5741072- 3208410823","VICENTE ANTONIO GIRALDO HERNANDEZ"
"SINERGIA GLOBAL EN SALUD SAS","CÚCUTA","maria.bermudez@christus.co","Calle 9 No. 0 E - 58 Piso 1 Local 1 Barrio El Centro","5955899 Ext. 78533","Maria Juliana Bermudez López"
"SOCIEDAD CLINICA MACHICADO SAS","CÚCUTA","clinicamachicado@gmail.com","Av 1 17 93 cons 210","5712622","Adriana Machicado Villamizar"
"SOCIEDAD DE CIRUGIA PEDIATRICA DE NORTE DE SANTANDER","CÚCUTA","scpn-s@hotmail.com","CALLE 18 # 1E 38","5730125","MAURICIO ORLANDO VILLAMIZAR ZUÑIGA"
"SOCIEDAD MEDICA LOS SAMANES SAS","CÚCUTA","gerencia@medisamanes.com","AVENIDA 12E No 4-30 BARRIO QUINTA ORIENTAL","5744499 - 5778178","DIEGO ARMANDO RANGEL CELIS"
"SOCIEDAD REPROVID SAS","CÚCUTA","info@reprovid.com","Calle 16A #1E-109 BARRIO CAOBOS","5729953","MIGUEL TONINO BOTTA FERNANDEZ"
"SOLUCIONES INTEGRALES EN SALUD S.A.S.","CÚCUTA","soinsaltda@hotmail.com","AVENIDA 5 # 8-34","5841580 - 3167402588 - 3164475468","JOSÈ MAURICIO CAMARO FUENTES"
"SOMEDIAG LTDA","CÚCUTA","somediag@hotmail.com","aV 12 E Nro. 4-18 Cons. 106","5750256 - 5742380 - 3165233302","Cecilia Sánchez Gómez"
"SOMEFYR SAS","CÚCUTA","gerencia@somefyr.com","CALLE 15 # 3AE-06 BARRIO CAOBOS","5891720","DEYANIRA PAIPILLA MONROY"
"SONRICENTER ORTODONCIA A TU ALCANCE LTDA II","CÚCUTA","0","AV. 4 CLLE . 9 # 9-11 CONS. 202","5723313","JORGE ANDRES ANGARITA LAMK"
"suvision ips 20/20 sas","CÚCUTA","suvision99@gmail.com","AV 2 N° 9-93","5713715","DIEGO ARMANDO DELGADO USECHE"
"SYNAPSIS S.A.S.","CÚCUTA","carlosvillegas@synapsis.co","AVENIDA 1RA Nro. 15 -43 BARRIO LA PLAYA CENTRO MEDICO DE ESP","5722437","Carlos Mario Villegas Toro"
"terapia globlal sas","CÚCUTA","terapiaglobalsas@gmail.com","AVENIDA 0A N° 19-41 BARRIO BLANCO","3228552112","VICTOR MANUEL CARDOZO MANSO"
"TRANSPORTE SALUD IMÁGENES TRANSALIM LTDA","CÚCUTA","transalimltda@hotmail.com, jimenaramirez","AVENIDA 1 No.15-43 CONSULTORIO 104 B. LA PLAYA","5720294- 3112447192",""
"TU BOCA BELLA S.A.S","CÚCUTA","tubocabella@hotmail.es","AVENIDA 11E No 5-39","5773200","GLEIDYS ELVIRA JAIMES OCHOA"
"UBA VIHONCO SAS","CÚCUTA","directora.cucuta@vihonco.org","CALLE 9 0-77 y/o 0-83","5715587","OCHOA DE CORREDOR CECILIA JACINTA"
"UNIDAD BASICA AGUA CLARA","CÚCUTA","ipsaguaclara@imsalud.gov.co","AGUA CLARA","5827007 EXT 536","JUAN AGUSTIN RAMIREZ MONTOYA"
"UNIDAD BASICA DE COMUNEROS","CÚCUTA","ubcomuneros@imsalud.gov.co","CLL. 5 N. 5-29 BARRIO COMUNEROS","5796645 - 5785402","JUAN AGUSTIN RAMIREZ MONTOYA"
"UNIDAD BASICA PUENTE BARCO LEONES","CÚCUTA","ubpuentebarcoleones@imsalud.gov.co","AV.4 N. 17-89","5836419 - 5836936","JUAN AGUSTIN RAMIREZ MONTOYA"
"UNIDAD DE DIAGNOSTICO S.A.S.","CÚCUTA","citopatcucuta40@outlook.com","CALLE 11 No. 0 - 08 Consultorio 504","5728877","SONIA MARIA MOLANO CARO"
"UNIDAD DE MEDICINA MATERNOFETAL NORFETUS SOCIEDAD POR ACCIONES SIMPLIFICADA","CÚCUTA","norfetuscucuta@gmail.com","CALLE 12A N° 1E-45 CONS. 317B BARRIO LOS CAOBOS","5725487","JOSE LEONARDO MONCADA GOMEZ"
"UNIDAD DE ORIENTACIÓN Y ASISTENCIA MATERNA","CÚCUTA","secgeneral@orientame.org.co","Avenida 2 da # 10 - 18 Oficina 201 Edificio Ovni","(1) 2858004 ext 204 - 3015825149","Cristina Villarreal Velásquez"
"UNIDAD ESTETICA E IMPLANTOLOGÍA ORAL ORTHOCLINC LTDA","CÚCUTA","orthoclinc3@hotmail.com","AVENIDA 2DA No 7A-44 OFICINA 203-204","5922082","MANUEL ALBERTO SANCHEZ RAMON"
"UNIDAD HEMATOLOGICA ESPECIALIZADA IPS SAS","CÚCUTA","claudia_jaueguir@hotmail","CL 9 Nº 6E 21","57.511.225.750.303","CLAUDIA MARGARITA JAUREGUI RANGEL"
"UNIDAD MATERNO INFANTIL LA LIBERTAD","CÚCUTA","ublibertad@imsalud.gov.co","AV. 13 N. 18-36 Y 18-40","5761465 - 5763955","JUAN AGUSTIN RAMIREZ MONTOYA"
"UNIDAD MEDICA LOS CAOBOS SAS","CÚCUTA","gerencialoscaobos@gmail.com","CL 16A 1E-133","5716735","CAROLINA JAIMES GAMBOA"
"UNIOPTICA LIMITADA","CÚCUTA","consuelitoflorez@hotmail.com","CALLE 16 # 1E - 120","5730364","CONSUELO ECHEVERRIA DE FLOREZ"
"UROLOGOS DEL NORTE DE SANTANDER URONORTE S.A. URONORTE S.A.","CÚCUTA","gerencia@uronorte.com","CALLE 13A # 1E-125 BARRIO CAOBOS","5722722",""
"VACUNORTE IPS SAS","CÚCUTA","vacunorteips@gmail.com","CALLE 2N # 1E- 115 BARRIO QUINTA BOSH","5751165-- 3152805742","MARISOL RIVERA GELVIS"
"VIANZA & BIENESTAR IPS SAS","CÚCUTA","ctnlimitada@hotmail.com","Av. 3E # 1-50 QUINTA BOSH","5741281","LADY VIVIANA GUERRERO GUERRERO"
"VIDAMEDICAL IPS S.A.S.","CÚCUTA","vidamedical.cucuta@yahoo.es","AVENIDA 4 AE # 5-37","5948224","MARCO ANTONIO CARDENAS DIAZ"
"XIMENA CAICEDO G. EMPRESA UNIPERSONAL","CÚCUTA","ximena-caicedo@hotmail.com","CALLE 18 No. 1-71","5731277- 3188832465","XIMENA CAICEDO GUTIERREZ"
